"","License.Issue.Date","License.Number","Animal.s.Name","Species","Primary.Breed","Secondary.Breed","ZIP.Code","Year","Avg.AGI","SES"
"107",2022-01-04,"9268","Leo","Cat","Domestic Longhair","","98102",2022,94.8156801,"Medium"
"108",2022-01-05,"22689","Felix","Cat","Siamese","","98102",2022,94.8156801,"Medium"
"109",2022-01-05,"S111112","Petunia","Cat","Siberian","","98109",2022,108.8438562,"High"
"110",2022-01-05,"S109494","Scarlett","Cat","Domestic Medium Hair","Mix","98103",2022,85.42767318,"Medium"
"111",2022-01-05,"8014790","Pogo","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"112",2022-01-05,"S109926","Jevon","Cat","American Shorthair","","98104",2022,98.65607903,"Medium"
"113",2022-01-05,"S111255","Geno","Cat","Domestic Shorthair","","98103",2022,85.42767318,"Medium"
"114",2022-01-05,"8014768","Socks","Cat","Siberian","","98112",2022,202.574526,"High"
"115",2022-01-05,"8035397","Baby Girl","Cat","Domestic Medium Hair","Mix","98106",2022,50.07752,"Medium"
"116",2022-01-06,"S137480","Crotalus","Cat","Domestic Shorthair","Mix","98107",2022,77.42486188,"Medium"
"117",2022-01-06,"S139086","Nemo","Cat","Domestic Shorthair","Mix","98199",2022,130.7781505,"High"
"118",2022-01-06,"S139087","Noche","Cat","Domestic Shorthair","Mix","98199",2022,130.7781505,"High"
"119",2022-01-06,"8014761","Luana","Cat","Tonkinese","","98125",2022,64.3982,"Medium"
"120",2022-01-06,"8015733","Pip-squeak","Cat","Domestic Shorthair","Mix","98115",2022,100.7467087,"High"
"121",2022-01-06,"8035411","Bubbles","Cat","Domestic Medium Hair","Mix","98102",2022,94.8156801,"Medium"
"122",2022-01-06,"S111297","Mae","Cat","Domestic Shorthair","","98108",2022,50.01273345,"Medium"
"123",2022-01-07,"8015017","Oz","Cat","Maine Coon","Mix","98112",2022,202.574526,"High"
"124",2022-01-07,"28528","Roscoe","Cat","Domestic Shorthair","","98118",2022,56.95778073,"Medium"
"125",2022-01-07,"S157046","Fortune","Cat","Domestic Shorthair","Mix","98109",2022,108.8438562,"High"
"126",2022-01-07,"S153320","Sven","Cat","Domestic Shorthair","Mix","98122",2022,77.25699641,"Medium"
"127",2022-01-08,"8035440","Leo","Cat","Chartreux","Mix","98146",2022,57.92258806,"Medium"
"128",2022-01-08,"S109828","Shade","Cat","Domestic Shorthair","","98136",2022,104.9786052,"High"
"129",2022-01-08,"S109827","Bugs Bunny","Cat","Manx","","98136",2022,104.9786052,"High"
"130",2022-01-08,"8014752","Cedar","Cat","Domestic Shorthair","Mix","98133",2022,55.06720631,"Medium"
"131",2022-01-09,"S157859","Bowzer","Cat","Domestic Longhair","","98115",2022,100.7467087,"High"
"132",2022-01-09,"8035459","Charlie","Cat","Domestic Shorthair","Siamese","98105",2022,108.5212338,"High"
"133",2022-01-09,"S148824","Abby","Cat","Domestic Shorthair","Mix","98125",2022,64.3982,"Medium"
"134",2022-01-09,"S149280","Jack","Cat","American Shorthair","Mix","98122",2022,77.25699641,"Medium"
"135",2022-01-09,"S157994","Kris","Cat","Domestic Shorthair","Mix","98118",2022,56.95778073,"Medium"
"136",2022-01-09,"8014711","Bagheera","Cat","American Shorthair","Mix","98125",2022,64.3982,"Medium"
"137",2022-01-09,"S157995","Momo","Cat","Domestic Shorthair","Mix","98199",2022,130.7781505,"High"
"138",2022-01-09,"8014989","Nora","Cat","American Shorthair","Mix","98116",2022,98.37759883,"Medium"
"139",2022-01-09,"S157996","Cheesecake","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"140",2022-01-09,"8014977","Bonnie","Cat","Domestic Medium Hair","Mix","98119",2022,111.5524498,"High"
"141",2022-01-09,"17062","Bella","Cat","Domestic Shorthair","Mix","98115",2022,100.7467087,"High"
"142",2022-01-09,"431077","Boomer","Cat","Bengal","","98126",2022,70.93753425,"Medium"
"143",2022-01-10,"8035482","Clementine","Cat","American Shorthair","Mix","98107",2022,77.42486188,"Medium"
"144",2022-01-10,"S104327","Kobe","Cat","Domestic Medium Hair","Mix","98117",2022,93.9535877,"Medium"
"145",2022-01-10,"S104326","Jasper","Cat","Domestic Medium Hair","Mix","98117",2022,93.9535877,"Medium"
"146",2022-01-10,"S157998","Jaden","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"147",2022-01-10,"S158101","Bustah Reign","Cat","Domestic Shorthair","Mix","98125",2022,64.3982,"Medium"
"148",2022-01-10,"8035487","Napoli Monkee","Cat","Domestic Shorthair","Domestic Shorthair","98104",2022,98.65607903,"Medium"
"149",2022-01-10,"73527","Saela","Cat","Domestic Shorthair","","98122",2022,77.25699641,"Medium"
"150",2022-01-11,"8015270","Kota","Cat","Domestic Shorthair","Mix","98104",2022,98.65607903,"Medium"
"151",2022-01-11,"S110454","Suzy-Kitty","Cat","Domestic Longhair","","98108",2022,50.01273345,"Medium"
"152",2022-01-12,"28488","Daisy","Cat","Maine Coon","","98144",2022,76.60438247,"Medium"
"153",2022-01-12,"28484","Mickey","Cat","Maine Coon","","98144",2022,76.60438247,"Medium"
"154",2022-01-12,"S154393","Edgar","Cat","Domestic Medium Hair","Mix","98125",2022,64.3982,"Medium"
"155",2022-01-12,"8035523","Milo","Cat","American Shorthair","Mix","98103",2022,85.42767318,"Medium"
"156",2022-01-12,"S110506","Clark","Cat","Domestic Shorthair","Maine Coon","98117",2022,93.9535877,"Medium"
"157",2022-01-12,"S110507","Lewis","Cat","Domestic Shorthair","Maine Coon","98117",2022,93.9535877,"Medium"
"158",2022-01-12,"S158117","Sookie","Cat","Domestic Shorthair","Mix","98104",2022,98.65607903,"Medium"
"159",2022-01-12,"28235","Jingle","Cat","Domestic Shorthair","","98112",2022,202.574526,"High"
"160",2022-01-12,"8035536","Salmon","Cat","Domestic Shorthair","Mix","98117",2022,93.9535877,"Medium"
"161",2022-01-13,"S157860","Biscuit","Cat","Domestic Shorthair","Mix","98108",2022,50.01273345,"Medium"
"162",2022-01-13,"S157861","Taffy","Cat","Domestic Shorthair","Mix","98108",2022,50.01273345,"Medium"
"163",2022-01-13,"S157347","Emma","Cat","Maine Coon","Mix","98109",2022,108.8438562,"High"
"164",2022-01-13,"8035547","Fiona","Cat","Domestic Medium Hair","","98119",2022,111.5524498,"High"
"165",2022-01-13,"8035554","River Simpson","Cat","Domestic Shorthair","Mix","98115",2022,100.7467087,"High"
